title,Year,certificate,genre,details,lead_actors,gross collected
Modern Times,1936,G,Comedy,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,0.16
City Lights,1931,G,Comedy,With the aid of a wealthy erratic tippler a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.,Charles Chaplin,0.02
Hamilton,2020,PG-13,Biography,The real life of one of America's foremost founding fathers and first Secretary of the Treasury Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.,Lin-Manuel Miranda,0
Capernaum,2018,R,Drama,While serving a five-year sentence for a violent crime a 12-year-old boy sues his parents for neglect.,Zain Al Rafeea,1.66
Joker,2019,R,Crime,In Gotham City mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.,Joaquin Phoenix,335.45
Your Name.,2016,PG,Animation,Two strangers find themselves linked in a bizarre way. When a connection forms will distance be the only thing to keep them apart?,Ryûnosuke Kamiki,5.02
Dangal,2016,Not Rated,Action,Former wrestler  and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Aamir Khan,12.39
Spider-Man: Into the Spider-Verse,2018,PG,Animation,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Peter Ramsey,190.24
Avengers: Endgame,2019,PG-13,Action,After the devastating events of  (2018) the universe is in ruins. With the help of remaining allies the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.,Joe Russo,858.37
Avengers: Infinity War,2018,PG-13,Action,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Joe Russo,678.82
Coco,2017,PG,Animation,Aspiring musician Miguel confronted with his family's ancestral ban on music enters the Land of the Dead to find his great-great-grandfather a legendary singer.,Adrian Molina,209.73
Django Unchained,2012,R,Drama,With the help of a German bounty-hunter a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.,Jamie Foxx,162.81
The Dark Knight Rises,2012,PG-13,Action,Eight years after the Joker's reign of anarchy Batman with the help of the enigmatic Catwoman is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.,Christian Bale,448.14
3 Idiots,2009,PG-13,Comedy,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them ""idiots"".",Aamir Khan,6.53
Like Stars on Earth,2007,PG,Drama,An eight-year-old boy is thought to be a lazy trouble-maker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,Amole Gupte,1.22
WALL·E,2008,G,Animation,In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.,Ben Burtt,223.81
The Lives of Others,2006,R,Drama,In 1984 East Berlin an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.,Ulrich Mühe,11.29
Oldboy,2003,R,Action,After being kidnapped and imprisoned for fifteen years Oh Dae-Su is released only to find that he must find his captor in five days.,Choi Min-sik,0.71
Memento,2000,R,Mystery,A man with short-term memory loss attempts to track down his wife's murderer.,Guy Pearce,25.54
Princess Mononoke,1997,PG-13,Animation,On a journey to find the cure for a Tatarigami's curse Ashitaka finds himself in the middle of a war between the forest gods and Tatara a mining colony. In this quest he also meets San the Mononoke Hime.,Yôji Matsuda,2.38
Indiana Jones and the Raiders of the Lost Ark,1981,PG,Action,In 1936 archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before 's Nazis can obtain its awesome powers.,Harrison Ford,248.16
The Shining,1980,R,Drama,A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence while his psychic son sees horrific forebodings from both past and future.,Jack Nicholson,44.02
Apocalypse Now,1979,R,Drama,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Martin Sheen,83.47
Alien,1979,R,Horror,After a space merchant vessel receives an unknown transmission as a distress call one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.,Sigourney Weaver,78.9
High and Low,1963,Not Rated,Crime,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Toshirô Mifune,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,Comedy,An insane American general orders a bombing attack on the Soviet Union triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.,Peter Sellers,0.28
Witness for the Prosecution,1957,Approved,Crime,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Tyrone Power,8.18
Paths of Glory,1957,Approved,Drama,After refusing to attack an enemy position a general accuses the soldiers of cowardice and their commanding officer must defend them.,Kirk Douglas,0
Pather Panchali,1955,Not Rated,Drama,Impoverished priest Harihar Ray dreaming of a better life for himself and his family leaves his rural Bengal village in search of work.,Kanu Bannerjee,0.54
Sunset Blvd.,1950,Passed,Drama,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,William Holden,0
The Great Dictator,1940,G,Comedy,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,0.29
1917,2019,R,Action,April 6th 1917. As an infantry battalion assembles to wage war deep in enemy territory two soldiers are assigned to race against time and deliver a message that will stop 1600 men from walking straight into a deadly trap.,Dean-Charles Chapman,159.23
The Hunt,2012,R,Drama,A teacher lives a lonely life all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son but his new luck is about to be brutally shattered by an innocent little lie.,Mads Mikkelsen,0.69
A Separation,2011,PG-13,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Payman Maadi,7.1
Incendies,2010,R,Drama,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Lubna Azabal,6.86
The Father,2020,PG-13,Drama,A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances he begins to doubt his loved ones his own mind and even the fabric of his reality.,Anthony Hopkins,0
Inglourious Basterds,2009,R,Adventure,In Nazi-occupied France during World War II a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.,Brad Pitt,120.54
Eternal Sunshine of the Spotless Mind,2004,R,Drama,When their relationship turns sour a couple undergoes a medical procedure to have each other erased from their memories.,Jim Carrey,34.4
Amélie,2001,R,Comedy,Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and along the way discovers love.,Audrey Tautou,33.23
Requiem for a Dream,2000,R,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Ellen Burstyn,3.64
American Beauty,1999,R,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Kevin Spacey,130.1
Good Will Hunting,1997,R,Drama,Will Hunting a janitor at M.I.T. has a gift for mathematics but needs help from a psychologist to find direction in his life.,Robin Williams,138.43
Children of Heaven,1997,PG,Drama,"After a boy loses his sister's pair of shoes he goes on a series of adventures in order to find them. When he can't he tries a new way to ""win"" a new pair.",Mohammad Amir Naji,0.93
Toy Story,1995,G,Animation,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,Tom Hanks,191.8
Braveheart,1995,R,Biography,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,75.6
Reservoir Dogs,1992,R,Crime,When a simple jewelry heist goes horribly wrong the surviving criminals begin to suspect that one of them is a police informant.,Harvey Keitel,2.83
Full Metal Jacket,1987,R,Drama,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Matthew Modine,46.36
Come and See,1985,Not Rated,Drama,After finding an old rifle a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.,Aleksey Kravchenko,0
Aliens,1986,R,Action,Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.,Sigourney Weaver,85.16
Once Upon a Time in America,1984,R,Crime,A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later where he must once again confront the ghosts and regrets of his old life.,Robert De Niro,5.32
Amadeus,1984,R,Biography,The life success and troubles of  as told by  the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.,F. Murray Abraham,51.97
Scarface,1983,R,Crime,In 1980 Miami a determined Cuban immigrant takes over a drug cartel and succumbs to greed.,Al Pacino,45.6
Star Wars: Episode VI - Return of the Jedi,1983,PG,Action,After a daring mission to rescue Han Solo from Jabba the Hutt the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.,Mark Hamill,309.13
Das Boot,1981,R,Drama,The claustrophobic world of a WWII German U-boat; boredom filth and sheer terror.,Jürgen Prochnow,11.49
Dersu Uzala,1975,G,Adventure,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Maksim Munzuk,0
The Sting,1973,PG,Comedy,Two grifters team up to pull off the ultimate con.,Paul Newman,159.6
A Clockwork Orange,1971,R,Crime,In the future a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment but it doesn't go as planned.,Malcolm McDowell,6.21
2001: A Space Odyssey,1968,G,Adventure,The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago the mysterious objects lead mankind on an awesome journey to Jupiter with the help of H.A.L. 9000: the world's greatest supercomputer.,Keir Dullea,56.95
Lawrence of Arabia,1962,Approved,Adventure,The story of  the English officer who successfully united and led the diverse often warring Arab tribes during World War I in order to fight the Turks.,Peter O'Toole,44.82
The Apartment,1960,Approved,Comedy,A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts but complications and a romance of his own ensue.,Jack Lemmon,18.6
North by Northwest,1959,Approved,Adventure,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies and falls for a woman whose loyalties he begins to doubt.,Cary Grant,13.28
Vertigo,1958,PG,Mystery,A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail who may be deeply disturbed.,James Stewart,3.2
Singin' in the Rain,1952,G,Comedy,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Gene Kelly,8.82
Ikiru,1952,Not Rated,Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Takashi Shimura,0.06
Bicycle Thieves,1948,Not Rated,Drama,In post-war Italy a working-class man's bicycle is stolen endangering his efforts to find work. He and his son set out to find it.,Lamberto Maggiorani,0.33
Double Indemnity,1944,Passed,Crime,A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague an insurance investigator.,Fred MacMurray,5.72
Citizen Kane,1941,PG,Drama,Following the death of publishing tycoon Charles Foster Kane reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.,Orson Welles,1.59
M,1931,Passed,Crime,When the police in a German city are unable to catch a child-murderer other criminals join in the manhunt.,Peter Lorre,0.03
