title,Year,certificate,genre,details,lead_actors,gross collected
Oz,1997,TV-MA,Crime,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,J.K. Simmons,0
The Marvelous Mrs. Maisel,2017,TV-MA,Comedy,A housewife in 1958 decides to become a stand-up comic.,Alex Borstein,0
This Is Us,2016,TV-14,Comedy,A heartwarming and emotional story about a unique set of triplets their struggles and their wonderful parents.,Mandy Moore,0
The West Wing,1999,TV-14,Drama,Inside the lives of staffers in the West Wing of the White House.,Rob Lowe,0
The Handmaid's Tale,2017,TV-MA,Drama,Set in a dystopian future a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.,Yvonne Strahovski,0
Fawlty Towers,1975,TV-PG,Comedy,Hotel owner Basil Fawlty's incompetence short fuse and arrogance form a combination that ensures accidents and trouble are never far away.,Prunella Scales,0
The Witcher,2019,TV-MA,Action,Geralt of Rivia a solitary monster hunter struggles to find his place in a world where people often prove more wicked than beasts.,Freya Allan,0
Star Trek: The Next Generation,1987,TV-PG,Action,Set almost 100 years after Captain Kirk's five-year mission a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.,Brent Spiner,0
The Newsroom,2012,TV-MA,Drama,A newsroom undergoes some changes in its workings and morals as a new team is brought in bringing unexpected results for its existing news anchor.,Emily Mortimer,0
The IT Crowd,2006,TV-14,Comedy,The comedic misadventures of Roy Moss and their grifting supervisor Jen a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.,Richard Ayoade,0
Succession,2018,TV-MA,Drama,The Roy family is known for controlling the biggest media and entertainment company in the world. However their world changes when their father steps down from the company.,Brian Cox,0
Only Fools and Horses,1981,TV-PG,Comedy,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,Nicholas Lyndhurst,0
Scrubs,2001,TV-14,Comedy,"In the unreal world of Sacred Heart Hospital intern John ""J.D."" Dorian learns the ways of medicine friendship and life.",Donald Faison,0
Silicon Valley,2014,TV-MA,Comedy,Follows the struggle of Richard Hendricks a Silicon Valley engineer trying to build his own company called Pied Piper.,T.J. Miller,0
The Night Of,2016,TV-MA,Crime,After a night of partying with a woman he picked up a man wakes up to find her stabbed to death and is charged with her murder.,John Turturro,0
Naruto: Shippûden,2007,TV-PG,Animation,Naruto Uzumaki is a loud hyperactive adolescent ninja who constantly searches for approval and recognition as well as to become Hokage who is acknowledged as the leader and strongest of all ninja in the village.,Maile Flanagan,0
Sex Education,2019,TV-MA,Comedy,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,Gillian Anderson,0
Spartacus: Gods of the Arena,2011,TV-MA,Action,In the time before the arrival of Spartacus the House of Batiatus faces many challenges from competitors and within its own household.,Manu Bennett,0
Deadwood,2004,TV-MA,Crime,A show set in the late 1800s revolving around the characters of Deadwood South Dakota; a town of deep corruption and crime.,Ian McShane,0
The Shield,2002,TV-MA,Crime,Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.,Michael Jace,0
Person of Interest,2011,TV-14,Action,An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However the details of the crimes including the civilians' roles are left a mystery.,Taraji P. Henson,0
Loki,2021,TV-14,Action,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,Owen Wilson,0
Love Death & Robots,2019,TV-MA,Animation,A collection of animated short stories that span various genres including science fiction fantasy horror and comedy.,Nolan North,0
The Expanse,2015,TV-14,Drama,In the 24th century a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.,Dominique Tipper,0
Entourage,2004,TV-MA,Comedy,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,Adrian Grenier,0
Justified,2010,TV-MA,Action,U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor rural coal mining towns of eastern Kentucky.,Nick Searcy,0
Mare of Easttown,2021,TV-MA,Crime,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.,Julianne Nicholson,0
Steins;Gate,2011,TV-14,Animation,After discovering time travel a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.,Asami Imai,0
Adventure Time,2010,TV-PG,Animation,A 12-year-old boy and his best friend wise 28-year-old dog with magical powers go on a series of surreal adventures with each other in a remote future.,Jeremy Shada,0
Blackadder Goes Forth,1989,TV-PG,Comedy,Stuck in the middle of World War I Captain Edmund Blackadder does his best to escape the banality of the war.,Tony Robinson,0
Sacred Games,2018,TV-MA,Action,A link in their pasts leads an honest cop to a fugitive gang boss whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.,Nawazuddin Siddiqui,0
Outlander,2014,TV-MA,Drama,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,Sam Heughan,0
Yellowstone,2018,TV-MA,Drama,A ranching family in Montana faces off against others encroaching on their land.,Luke Grimes,0
The Office,2001,TV-MA,Comedy,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,Martin Freeman,0
Over the Garden Wall,2014,TV-PG,Animation,Two brothers find themselves lost in a mysterious land and try to find their way home.,Collin Dean,0
24,2001,TV-14,Action,Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.,Mary Lynn Rajskub,0
Schitt's Creek,2015,TV-14,Comedy,When rich video-store magnate Johnny Rose and his family suddenly find themselves broke they are forced to leave their pampered lives to regroup in Schitt's Creek.,Catherine O'Hara,0
Squid Game,2021,TV-MA,Action,Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.,Park Hae-soo,0
Californication,2007,TV-MA,Comedy,A writer tries to juggle his career his relationship with his daughter and his ex-girlfriend as well as his appetite for beautiful women.,Natascha McElhone,0
Code Geass,2006,TV-14,Animation,After being given a mysterious power to control others an outcast prince becomes the masked leader of the rebellion against an all powerful empire,Takahiro Sakurai,0
Family Guy,1999,TV-14,Animation,In a wacky Rhode Island town a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.,Alex Borstein,0
Luther,2010,TV-MA,Crime,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,Dermot Crowley,0
Demon Slayer: Kimetsu no Yaiba,2019,TV-MA,Animation,A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.,Zach Aguilar,0
Battlestar Galactica,2003,TV-14,Action,Following the destruction of the Twelve Colonies of Kobol by the Cylons a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.,Mary McDonnell,0
Taboo,2017,TV-MA,Drama,Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However both the government and his biggest competitor want his inheritance at any cost - even murder.,David Hayman,0
Lucifer,2016,TV-14,Crime,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,Lauren German,0
The Legend of Korra,2012,TV-PG,Animation,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,P.J. Byrne,0
Line of Duty,2012,TV-14,Crime,Drama series following the investigations of AC-12 a controversial police anti-corruption unit.,Vicky McClure,0
Sense8,2015,TV-MA,Drama,A group of people around the world are suddenly linked mentally and must find a way to survive being hunted by those who see them as a threat to the world's order.,Jamie Clayton,0
The Bridge,2011,TV-MA,Crime,When a body is found on the bridge between Denmark and Sweden right on the border Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.,Rafael Pettersson,0
Dekalog,1989,TV-MA,Drama,Ten television drama films each one based on one of the Ten Commandments.,Olgierd Lukaszewicz,0
Friday Night Lights,2006,TV-14,Drama,A drama that follows the lives of the Dillon Panthers one of the nation's best high school football teams and their head coach Eric Taylor.,Connie Britton,0
Broadchurch,2013,TV-MA,Crime,The murder of a young boy in a small coastal town brings a media frenzy which threatens to tear the community apart.,Olivia Colman,0
Anne with an E,2017,TV-PG,Drama,The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island in this new take on L.M. Montgomery's classic novels.,Geraldine James,0
Atlanta,2016,TV-MA,Comedy,Based in Atlanta Earn and his cousin Alfred try to make their way in the world through the rap scene. Along the way they come face to face with social and economic issues touching on race relationships poverty status and parenthood.,Brian Tyree Henry,0
Louie,2010,TV-MA,Comedy,The life of Louie C.K. a divorced comedian living in New York with two kids.,Hadley Delany,0
The Last Kingdom,2015,TV-MA,Action,As Alfred the Great defends his kingdom from Norse invaders Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.,Eliza Butterworth,0
After Life,2019,TV-MA,Comedy,After Tony's wife dies unexpectedly his nice-guy persona is altered into an impulsive devil-may-care attitude; taking his old world by storm.,Tom Basden,0
Peep Show,2003,TV-MA,Comedy,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,Robert Webb,0
What We Do in the Shadows,2016,TV-MA,Comedy,A look into the daily (or rather nightly) lives of three vampires who've lived together for over 100 years on Staten Island.,Matt Berry,0
Banshee,2013,TV-MA,Action,An ex-con assumes the identity of a murdered sheriff in the small town of Banshee Pennsylvania where he has some unfinished business.,Ivana Milicevic,0
American Horror Story,2011,TV-MA,Drama,An anthology series centering on different characters and locations including a house with a murderous past an insane asylum a witch coven a freak show circus a haunted hotel a possessed farmhouse a cult the apocalypse a slasher summer camp and a bleak beach town and desert valley.,Kathy Bates,0
The Americans,2013,TV-MA,Crime,At the height of the Cold War two Russian agents pose as your average American couple complete with family.,Matthew Rhys,0
American Crime Story,2016,TV-MA,Biography,An anthology series centered around America's most notorious crimes and criminals.,Annaleigh Ashford,0
Orange Is the New Black,2013,TV-MA,Comedy,Convicted of a decade old crime of transporting drug money to an ex-girlfriend normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.,Danielle Brooks,0
Stargate SG-1,1997,TV-14,Action,A secret military team SG-1 is formed to explore other planets through the recently discovered Stargates.,Michael Shanks,0
Unbelievable,2019,TV-MA,Crime,A teenager is charged with lying about having been raped but two detectives follow the path to the truth.,Toni Collette,0
Fullmetal Alchemist,2003,TV-PG,Animation,When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies they begin searching for the one thing that can save them; the fabled philosopher's stone.,Aaron Dismuke,0
The Inbetweeners,2008,TV-14,Comedy,Follows four friends and their antics during their final years of school.,James Buckley,0
Billions,2016,TV-MA,Drama,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",Damian Lewis,0
Euphoria,2019,TV-MA,Drama,A look at life for a group of high school students as they grapple with issues of drugs sex and violence.,Hunter Schafer,0
Twin Peaks,2017,TV-MA,Crime,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,Sheryl Lee,0
Orphan Black,2013,TV-MA,Drama,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,Dylan Bruce,0
The Pacific,2010,TV-MA,Action,The Pacific Theatre of World War II as seen through the eyes of several young Marines.,Joseph Mazzello,0
Buffy the Vampire Slayer,1997,TV-14,Action,A young woman destined to slay vampires demons and other infernal creatures deals with her life fighting evil with the help of her friends.,Nicholas Brendon,0
The Good Place,2016,TV-PG,Comedy,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,William Jackson Harper,0
Neon Genesis Evangelion,1995,TV-MA,Animation,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,Megumi Hayashibara,0
Criminal Minds,2005,TV-14,Crime,The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.) an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.,Kirsten Vangsness,0
WandaVision,2021,TV-PG,Action,Blends the style of classic sitcoms with the MCU in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.,Paul Bettany,0
Das Boot,1985,TV-MA,Drama,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,Herbert Grönemeyer,0
Chuck,2007,TV-14,Action,When a twenty-something computer geek inadvertently downloads critical government secrets into his brain the C.I.A. and the N.S.A. assign two agents to protect him and exploit such knowledge turning his life upside down.,Yvonne Strahovski,0
The Mentalist,2008,TV-14,Crime,"A famous ""psychic"" outs himself as a fake and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"" the madman who killed his wife and daughter.",Robin Tunney,0
Narcos: Mexico,2018,TV-MA,Crime,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,José María Yazpik,0
Black Books,2000,TV-PG,Comedy,Bernard Black runs a book shop though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.,Bill Bailey,0
The Originals,2013,TV-14,Drama,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,Daniel Gillies,0
Jujutsu Kaisen,2020,TV-MA,Animation,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,Adam McArthur,0
White Collar,2009,TV-PG,Comedy,A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief counterfeiter and conman.,Tim DeKay,0
Gomorrah,2014,TV-MA,Crime,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,Marco D'Amore,0
The End of the F***ing World,2017,TV-MA,Adventure,James is 17 and is pretty sure he is a psychopath. Alyssa also 17 is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.,Alex Lawther,0
The Blacklist,2013,TV-14,Crime,A new FBI profiler Elizabeth Keen has her entire life uprooted when a mysterious criminal Raymond Reddington who has eluded capture for decades turns himself in and insists on speaking only to her.,Megan Boone,0
Berserk,1997,TV-14,Animation,Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk' lead by the charismatic Griffith and fights with them as they battle their way into the royal court.,Nobutoshi Canna,0
Psych,2006,TV-PG,Comedy,A novice sleuth is hired by the Police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend the duo take on a series of complicated cases.,Dulé Hill,0
Poirot,1989,TV-14,Crime,The cases of eccentric but sharp Belgian detective Hercule Poirot.,Hugh Fraser,0
Ash vs Evil Dead,2015,TV-MA,Action,Ash has spent the last thirty years avoiding responsibility maturity and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.,Ray Santiago,0
Spaced,1999,TV-14,Action,Friends Tim and Daisy 20-something North Londoners with uncertain futures must pretend to be a couple to live in the only apartment they can afford.,Jessica Hynes,0
The Leftovers,2014,TV-MA,Drama,Three years after the disappearance of 2% of the global human population a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.,Amy Brenneman,0
30 Rock,2006,TV-14,Comedy,"Liz Lemon head writer of the sketch comedy show ""TGS with Tracy Jordan"" must deal with an arrogant new boss and a crazy new star all while trying to run a successful television show without losing her mind.",Alec Baldwin,0
Penny Dreadful,2014,TV-MA,Drama,Explorer Sir Malcolm Murray American gunslinger Ethan Chandler scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.,Timothy Dalton,0
Normal People,2020,TV-14,Drama,Follows Marianne and Connell from different backgrounds but the same small town in Ireland as they weave in and out of each other's romantic lives.,Paul Mescal,0
Generation Kill,2008,TV-MA,Drama,A Rolling Stone reporter embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.,James Ransone,0
Maid,2021,TV-MA,Drama,After fleeing an abusive relationship a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.,Nick Robinson,0
Naruto,2002,TV-PG,Animation,Naruto Uzumaki a mischievous adolescent ninja struggles as he searches for recognition and dreams of becoming the Hokage the village's leader and strongest ninja.,Maile Flanagan,0
Castle,2009,TV-14,Comedy,"After a serial killer imitates the plots of his novels successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",Stana Katic,0
Vinland Saga,2019,TV-MA,Animation,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,Zach Aguilar,0
Gilmore Girls,2000,TV-PG,Comedy,A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow Connecticut.,Alexis Bledel,0
Samurai Jack,2001,TV-14,Animation,A samurai sent through time fights to return home and save the world.,Mako,0
Father Ted,1995,TV-14,Comedy,Three misfit priests and their housekeeper live on Craggy Island not the peaceful and quiet part of Ireland that it seems to be.,Ardal O'Hanlon,0
The Morning Show,2019,TV-MA,Drama,An inside look at the lives of the people who help America wake up in the morning exploring the unique challenges faced by the men and women who carry out this daily televised ritual.,Reese Witherspoon,0
Ray Donovan,2013,TV-MA,Crime,"Ray Donovan a professional ""fixer"" for the rich and famous in Los Angeles can make anyone's problems disappear except those created by his own family.",Eddie Marsan,0
Watchmen,2019,TV-MA,Crime,Set in an alternate history where masked vigilantes are treated as outlaws Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name while attempting to break new ground of its own.,Yahya Abdul-Mateen II,0
How to Get Away with Murder,2014,TV-14,Crime,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,Billy Brown,0
The Killing,2011,TV-14,Crime,A police investigation the saga of a grieving family and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.,Joel Kinnaman,0
The Umbrella Academy,2019,TV-14,Action,A family of former child heroes now grown apart must reunite to continue to protect the world.,Tom Hopper,0
Atypical,2017,TV-MA,Comedy,Sam an 18-year-old on the autism spectrum decides it's time to find a girlfriend a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.,Keir Gilchrist,0
Star Trek: The Original Series,1966,TV-PG,Action,In the 23rd Century Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.,Leonard Nimoy,0
Young Justice,2010,TV-PG,Animation,Teenage superheroes strive to prove themselves as members of the Justice League.,Danica McKellar,0
The Knick,2014,TV-MA,Drama,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,Clive Owen,0
Bosch,2014,TV-MA,Crime,An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,Jamie Hector,0
Dexter: New Blood,2021,TV-MA,Crime,Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura he is now living under an assumed name in Upstate New York Iron Lake far from his original home in Miami.,Jack Alcott,0
Star Wars: The Clone Wars,2008,TV-PG,Animation,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,Dee Bradley Baker,0
Killing Eve,2018,TV-14,Action,After a series of events the lives of a security operative and an assassin become inextricably linked.,Sandra Oh,0
Samurai Champloo,2004,TV-MA,Animation,"Fuu a waitress who works in a teahouse rescues two master swordsmen Mugen and Jin from their execution to help her find the ""samurai who smells of sunflowers.""",Ginpei Sato,0
Black Sails,2014,TV-MA,Adventure,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""",Toby Stephens,0
Coupling,2000,TV-14,Comedy,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,Gina Bellman,0
Justice League,2001,TV-PG,Animation,Seven of the most formidable heroes form arguably the most powerful team ever.,Phil LaMarr,0
Misfits,2009,TV-MA,Comedy,A group of young offenders doing community service get struck by lightning during a storm and begin to develop superpowers.,Joe Gilgun,0
The Good Wife,2009,TV-14,Crime,Alicia Florrick (Julianna Margulies) has been a good wife to her husband a former state's attorney. After a very humiliating sex and corruption scandal he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.,Chris Noth,0
Dr. Horrible's Sing-Along Blog,2008,TV-PG,Short,An aspiring supervillain must balance his career and his pursuit of a beautiful do-gooder.,Nathan Fillion,0
Master of None,2015,TV-MA,Comedy,The personal and professional life of Dev a 30-year-old actor in New York.,Eric Wareheim,0
Veronica Mars,2004,TV-14,Crime,After her best friend is murdered and her father is removed as county Sheriff Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune.,Jason Dohring,0
M*A*S*H,1972,TV-PG,Comedy,The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation.,Wayne Rogers,0
It's a Sin,2021,TV-MA,Comedy,A chronicle of four friends during a decade in which everything changed including the rise of AIDS.,Nathaniel Curtis,0
The Bugs Bunny Show,1960,TV-G,Animation,TV series featuring the classic Looney Tunes animated shorts.,June Foray,0
SpongeBob SquarePants,1999,TV-Y,Animation,The misadventures of a talking sea sponge who works at a fast food restaurant attends a boating school and lives in an underwater pineapple.,Bill Fagerbakke,0
That '70s Show,1998,TV-14,Comedy,A comedy revolving around a group of teenage friends their mishaps and their coming of age set in 1970s Wisconsin.,Laura Prepon,0
Trailer Park Boys,2001,TV-MA,Comedy,Three petty felons have a documentary made about their life in a trailer park.,Robb Wells,0
North & South,2004,TV-PG,Drama,North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale a middle class southerner who is forced to move to the northern town of Milton.,Richard Armitage,0
Skam,2015,Not Rated,Drama,The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo and their troubles scandals and everyday life. Each season is told from a different person's point of view.,Iman Meskini,0
Legion,2017,TV-MA,Action,David Haller is a troubled young man diagnosed as schizophrenic but after a strange encounter he discovers special powers that will change his life forever.,Rachel Keller,0
Altered Carbon,2018,TV-MA,Action,Set in a future where consciousness is digitized and stored a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.,Renée Elise Goldsberry,0
My Hero Academia,2016,TV-14,Animation,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,Nobuhiko Okamoto,0
Erased,2016,TV-14,Animation,29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death which began with a series of kidnappings while he was in 5th grade.,Tao Tsuchiya,0
Jessica Jones,2015,TV-MA,Action,Following the tragic end of her brief superhero career Jessica Jones tries to rebuild her life as a private investigator dealing with cases involving people with remarkable abilities in New York City.,Rachael Taylor,0
Bodyguard,2018,TV-MA,Crime,A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,Sophie Rundle,0
11.22.63,2016,TV-MA,Drama,A high school teacher travels back in time to prevent John F. Kennedy's assassination.,Sarah Gadon,0
Skins,2007,TV-MA,Drama,The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who more want to be friends (and lovers) rather than authority figures.,Nicholas Hoult,0
Regular Show,2009,TV-PG,Animation,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,William Salyers,0
Godless,2017,TV-MA,Action,In the 1880s American West murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank's chase leads him to La Belle New Mexico--a town inhabited after a mining disaster almost entirely by women.,Michelle Dockery,0
The Thick of It,2005,TV-MA,Comedy,Set in the corridors of power and spin the Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,James Smith,0
Bates Motel,2013,TV-MA,Drama,A contemporary prequel to Psycho giving a portrayal of how Norman Bates' psyche unravels through his teenage years and how deeply intricate his relationship with his mother Norma truly is.,Freddie Highmore,0
Tom Clancy's Jack Ryan,2018,TV-MA,Action,An up-and-coming CIA analyst Jack Ryan is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.,Wendell Pierce,0
Lonesome Dove,1989,TV-14,Adventure,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,Tommy Lee Jones,0
Boston Legal,2004,TV-14,Comedy,Boston Legal is a spin-off of the long-running David E. Kelley series The Practice (1997) following the exploits of former Practice character Alan Shore (James Spader) at the legal firm of Crane Poole and Schmidt.,William Shatner,0
Utopia,2013,TV-MA,Drama,After a group of people who meet online discover a bizarre graphic novel which seems to hold mysterious answers they find themselves being tracked down by a merciless organization known merely as 'The Network'.,Paul Higgins,0
The Adventures of Sherlock Holmes,1984,TV-PG,Crime,Sherlock Holmes and Dr Watson solve the mysteries of copper beeches a Greek interpreter the Norwood builder a resident patient the red-headed league and one final problem.,David Burke,0
Carnivàle,2003,TV-MA,Drama,During the Great Depression an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell.,Adrienne Barbeau,0
Castlevania,2017,TV-MA,Animation,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,James Callis,0
True Blood,2008,TV-MA,Drama,Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton a southern Louisiana gentleman and vampire.,Stephen Moyer,0
